,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
SLC40A1,-0.007193977870175349,0.0022881402951541487,-0.00718377373552433,-0.00542354769065416,-0.000983741703596646,-0.006641420366535568,-0.0007643318345813815,0.0,0.0,-0.004199971457302153,-0.002242493422243412,0.0021483327484976486,-0.020276326842501708,-0.018154392035863148,0.0073574832686785635,-0.004466384399994451,0.002022170495134021,-0.0029253755243529612,-0.011470539817301117,-0.00955457645278461,0.0,0.0,-0.006336530686395642,-0.0013533883223031118,0.0
SLC4A2,0.001586384554497877,-0.018638779365145207,-0.007294760201665591,-0.005425103978845422,0.0,-0.005849531803141529,-0.0008597112204537724,0.0,0.0,-0.005641030174360698,0.0,-0.0016196136114235782,-0.010683465098462536,-0.009865192204809579,0.010340904218492958,-0.0068018799891837395,0.0019874374020716562,-0.002450325220233367,-0.015312052284708264,-0.006197438078844774,0.0,0.0,-0.006489768691212233,-0.001378814845312798,0.0
SLC6A19,-0.0024917690254675565,-0.009746287165579487,-0.006601246755466757,-0.004913775420677766,0.0,-0.006158287702165248,-0.0006623845642717511,0.0,0.0,-0.0012721016397733431,-0.0011465601840616804,-0.0010394553337110144,-0.015704799187576418,-0.015721479260924306,-0.008166761635911204,-0.004820206565434883,-0.00012609140602376848,-0.004960727213026921,-0.009812803144147812,-0.00299566912878943,0.0,0.0,-0.0054967893584459,-0.0006603078060472417,0.0
SLC6A5,0.002878594797883313,-0.013296653558139204,-0.007610406228870459,-0.005991376181885824,0.0012647128300520187,-0.005555924762709769,-0.000773404767183742,0.0,0.0,0.003795699325194189,0.004237214296752298,0.0011093911969976365,-0.018605212218113402,-0.021352735290278924,-0.014391334653432699,0.0017916631820870128,0.0,-0.005274864618683196,-0.011687613386404522,-0.0032722703702162126,0.0,0.0,-0.005874484400668109,-0.001507545308930519,0.0
SLC6A9,-0.0005341577572498743,-0.010264014464327682,-0.0076789970112471385,-0.004490375765313651,0.0009026354159402394,-0.006094369009745991,-0.0009871675633013714,0.0,0.0,0.0007990599644191864,-0.0014711143216575157,-0.00337844076280628,-0.01628888628192287,-0.01696643062156299,-0.004725744218061535,-0.004492228829703258,0.001090512328364851,-0.0025084614495898758,-0.01063795070789729,-0.0034779472602835537,0.0,0.0,-0.005391536186878015,-0.0011399832327731174,0.0
SLC7A2,-0.0008507624110536266,-0.01216784472821475,-0.007839354257379444,-0.005401976522695669,-0.0006636782007747328,-0.006015328084574334,-0.0011097350157760338,0.0,0.0,-0.0018277481105803128,-0.0018142582097173485,0.0007886028239555212,-0.01301123750686303,-0.01691835565929898,-0.0038664124418397172,-0.003319587244069576,-0.00041810881199244587,-0.005182073983455764,-0.012739208457113224,-0.0035373164537461643,0.0,0.0,-0.005622116674115163,-0.0009810025481977042,0.0
SLCO2B1,-0.0025810734003686095,0.003497878567167899,-0.0061208606847493255,-0.004744012270003865,0.0,-0.0063462592186223216,-0.000906319557695108,0.0,0.0,0.001953827677915375,0.0,-0.0014683261349601046,-0.021471836004592848,-0.0258394168489519,0.001622816694412138,-0.006790181216096411,0.0,0.024022518085807,-0.009858525459779846,-0.010024039636771169,0.0,0.0,-0.005350455135816903,-0.0011408570020155495,0.0
SLITRK3,0.0048844200587743304,0.0034277730202151805,-0.010872444610523443,-0.005464252726939662,-0.001216253468813576,-0.0050912143490768535,-0.0014323827817233903,0.0,0.0,0.006282422829475555,0.008605218233000506,0.008630557695722671,-0.044577104279724424,-0.045961948328904184,-0.026923156226386226,-0.006937808354235678,0.0,0.0022198525599379515,0.02735875621801972,0.02693702051531556,0.0,0.0,-0.005264614144439919,-0.0013880586429108888,0.0
SMARCAD1,0.02024547078395204,0.016392540239722614,-0.005803529146645621,-0.0037038880762215974,0.0033742946789643985,-0.004728217897736173,-0.0008381456966820751,0.0,0.0,0.02597461950526052,0.000973897463251279,-0.0014268709003930485,0.0479511166976534,0.09809916070773286,0.03625552913102622,-0.006353490528338633,0.006954784865078601,-0.0125647745482904,-0.020957372381563255,0.013984849260319676,0.0,0.0,-0.006240250818225268,-0.0005634163125585734,0.0
SMCR8,0.002274682253689493,0.0018488887551579465,-0.0069144260689848695,-0.005787372424722305,-0.0002981828728731012,-0.006803168393854621,-0.0005478205861307872,0.0,0.0,-0.0011955685122087695,-0.0034630194862137025,-0.00181204232394587,-0.020554260006039,-0.022557674949672223,0.005693949736683836,-0.005507012572180194,-0.00104234831333741,-0.005237757212357353,-0.012019980444651843,-0.00880681178522097,0.0,0.0,-0.006243954343370897,-0.0011426705663174913,0.0
