,gene,transcript,protein_change,score,pvalue,qvalue,info
370,LAMB4,.,.,.,2.2665638984752925,0.26439,.
371,LYN,.,.,.,2.266184405985413,0.26439,.
372,SNAI1,.,.,.,2.2595573287238215,0.26773559999999996,.
373,C20orf194,.,.,.,2.251416712279712,0.27207209999999993,.
374,THAP3,.,.,.,2.2454821848856925,0.27507990000000004,.
375,FZD10,.,.,.,2.243182529918705,0.2753264,.
376,SPANXD,.,.,.,2.2418186996796803,0.2753264,.
377,HNRNPDL,.,.,.,2.241632678885696,0.2753264,.
378,MYLK,.,.,.,2.227560492204791,0.28364340000000005,.
379,B4GALNT3,.,.,.,2.2246085382099894,0.284094,.
380,MYH6,.,.,.,2.2245853016457184,0.284094,.
381,MAX,.,.,.,2.220519889284436,0.28484899999999996,.
382,PXK,.,.,.,2.2204791200774783,0.28484899999999996,.
383,CREBZF,.,.,.,2.220026442272368,0.28484899999999996,.
384,DDX3X,.,.,.,2.218111916617933,0.2853643,.
385,CNBD1,.,.,.,2.211366602815794,0.2890803,.
386,COL12A1,.,.,.,2.206345371006003,0.2902729,.
387,USP26,.,.,.,2.206053311390654,0.2902729,.
388,PPP1R36,.,.,.,2.2054009888960064,0.2902729,.
389,CSRNP2,.,.,.,2.203825873811408,0.2902729,.
390,DPAGT1,.,.,.,2.2030511972560505,0.2902729,.
391,SLC9C2,.,.,.,2.2025697158166557,0.2902729,.
392,GZMA,.,.,.,2.201773222850506,0.2902729,.
393,CCDC84,.,.,.,2.1992393570195534,0.2912304,.
394,WRN,.,.,.,2.1924381844995304,0.2950781,.
395,RPL26,.,.,.,2.1872567864890327,0.2967547,.
396,NRXN3,.,.,.,2.1867714599610166,0.2967547,.
397,FCHO1,.,.,.,2.1866916150892264,0.2967547,.
398,LRP1,.,.,.,2.184600056620108,0.29744,.
399,BCL2L11,.,.,.,2.1826903908276076,0.29800390000000004,.
400,POLR3H,.,.,.,2.180853098921799,0.298521,.
401,PDE1B,.,.,.,2.1787767532845783,0.29920549999999996,.
402,MOAP1,.,.,.,2.1749963075326364,0.3000193,.
403,DHX30,.,.,.,2.1747010731857896,0.3000193,.
404,IRF2,.,.,.,2.1732468667087987,0.3000193,.
405,COPS2,.,.,.,2.172943053011072,0.3000193,.
406,FZR1,.,.,.,2.1722287382607512,0.3000193,.
