gene	Total SNV Mutations	SNVs Unmapped to Ref Tx	inactivating count	inactivating p-value	inactivating BH q-value
EMILIN2	1	0	1	0.062359690695934146	0.2518883283956549
HELZ	1	0	1	0.0630715862503942	0.2518883283956549
NOTCH2	1	0	1	0.06310342651605982	0.2518883283956549
GOLGB1	4	0	1	0.06327912421692083	0.2518883283956549
NR1I2	1	0	1	0.06335529650278764	0.2518883283956549
SEZ6L	3	0	1	0.06388551715326135	0.2518883283956549
ATG7	2	0	2	0.06476683937823834	0.2518883283956549
RTL1	3	0	1	0.06499415052645262	0.2518883283956549
ASNA1	1	0	1	0.06526137179403511	0.2518883283956549
PPARGC1A	1	0	1	0.06528693608408957	0.2518883283956549
SGPL1	2	0	1	0.06560818790185015	0.2518883283956549
SLC46A3	2	0	1	0.06583711896767397	0.2518883283956549
IL1RL1	1	0	1	0.0662295516259355	0.2518883283956549
IDH1	1	0	1	0.06751282743721307	0.2518883283956549
USH2A	6	0	2	0.06769105801123672	0.2518883283956549
RPS24	1	0	1	0.06811061163329246	0.2518883283956549
CLSPN	1	0	1	0.0688089176357256	0.2518883283956549
ZSCAN5A	2	0	1	0.06889899407468651	0.2518883283956549
USP35	1	0	1	0.06913716814159292	0.2518883283956549
DLL4	2	0	1	0.07015574575557738	0.2518883283956549
PRRC2A	2	0	1	0.07048209754722301	0.2518883283956549
IRAK1	1	0	1	0.07073136228603763	0.2518883283956549
TUBGCP6	3	0	1	0.0708918190840777	0.2518883283956549
OR1D2	2	0	1	0.07090689924129617	0.2518883283956549
C2orf71	2	0	1	0.0715307582260372	0.2518883283956549
SART3	1	0	1	0.07200460829493087	0.2518883283956549
AMY2A	1	0	1	0.07201497911565606	0.2518883283956549
ELF2	2	0	1	0.07274843590862796	0.2518883283956549
C6orf222	1	0	1	0.07281730139081045	0.2518883283956549
MMP20	1	0	1	0.0730887297178775	0.2518883283956549
UGT1A8	1	0	1	0.07374631268436578	0.2518883283956549
EIF4G1	1	0	1	0.07413447994662317	0.2518883283956549
EP300	3	0	1	0.07466587023071754	0.2518883283956549
RBM28	2	0	1	0.0758782912208817	0.2518883283956549
METTL4	1	0	1	0.0771366862079605	0.2518883283956549
HR	1	0	1	0.07729169887154119	0.2518883283956549
ARHGAP32	1	0	1	0.07774236181295188	0.2518883283956549
ARID3A	1	0	1	0.0778998208304121	0.2518883283956549
CDK12	2	0	1	0.07862871520679351	0.2518883283956549
FGR	1	0	1	0.07897646501342599	0.2518883283956549
SEC23A	1	0	1	0.07903264048051846	0.2518883283956549
SSFA2	2	0	1	0.07940289026520565	0.2518883283956549
PAQR8	1	0	1	0.07944073721004132	0.2518883283956549
FBL	1	0	1	0.08006405124099279	0.2518883283956549
KPRP	1	0	1	0.0804052424218059	0.2518883283956549
KMT2C	10	0	3	0.08067118425298483	0.2518883283956549
TP53	8	0	2	0.08072328059412334	0.2518883283956549
ZNF563	1	0	1	0.08124136810463888	0.2518883283956549
GK5	1	0	1	0.08140670791273201	0.2518883283956549
ZMYND15	1	0	1	0.08141333550435562	0.2518883283956549
TAS2R60	1	0	1	0.0816259897151253	0.2518883283956549
VEGFC	2	0	1	0.0818732601932209	0.2518883283956549
KRT79	2	0	1	0.08251505899826718	0.2518883283956549
PM20D1	1	0	1	0.08301510874979247	0.2518883283956549
GCNT1	1	0	1	0.08343763037129745	0.2518883283956549
AVPR1A	1	0	1	0.08347942232239752	0.2518883283956549
OCRL	1	0	1	0.08369601606963509	0.2518883283956549
C6orf58	1	0	1	0.08382932349735937	0.2518883283956549
ATG2A	2	0	1	0.08389261744966443	0.2518883283956549
CSNK1G2	1	0	1	0.08398421096833796	0.2518883283956549
ETV4	2	0	1	0.08401949252226516	0.2518883283956549
IKBKAP	1	0	1	0.08445945945945946	0.2518883283956549
TAB1	1	0	1	0.0849762066621346	0.2518883283956549
CSF1R	2	0	1	0.08644536652835408	0.2518883283956549
MAP3K11	1	0	1	0.08664760419374404	0.2518883283956549
ATP1B4	1	0	1	0.08674531575294935	0.2518883283956549
FAM49A	1	0	1	0.08676789587852494	0.2518883283956549
C16orf70	1	0	1	0.08688852202624034	0.2518883283956549
ADAR	1	0	1	0.08704735376044569	0.2518883283956549
C2CD3	1	0	1	0.08710042679209128	0.2518883283956549
DDA1	1	0	1	0.08712319219376198	0.2518883283956549
ZNF830	1	0	1	0.08719916288803628	0.2518883283956549
DGCR2	1	0	1	0.08741258741258741	0.2518883283956549
MSR1	1	0	1	0.08787346221441125	0.2518883283956549
KRT23	1	0	1	0.08816009873931059	0.2518883283956549
