,gene,score
471,NLRP2,45.39096018
472,ALDH7A1,45.36027772
473,GPR153,45.31160697
474,LAMA2,45.28598846
475,GAS2,45.18658939
476,CLYBL,45.11833703
477,BICC1,45.02761051
478,DST,44.93479876
479,PTPN11,44.9275221
480,TRIP11,44.91857625
481,THSD7A,44.87361423
482,OR4C13,44.80882245
483,ELMOD3,44.79734403
484,MGA,44.77259041
485,DLC1,44.65245293
486,SNX29,44.64682793
487,SPATA20,44.6374823
488,PLEKHH3,44.62970358
489,PARD3B,44.59490839
490,NRIP3,44.55403687
491,RPL11,44.51958123
492,HS3ST3B1,44.46009456
493,KIF2B,44.4280775
494,CNTN3,44.4072885
495,FZD1,44.37744192
496,SLC34A3,44.37181045
497,GOLGA3,44.3460797
498,OR1D5,44.34195549
499,LAMC3,44.32703428
500,TLN1,44.29711873
501,NUDC,44.25097439
502,KLF7,44.21916859
503,AGAP1,44.11749139
504,TIMELESS,44.10080732
505,ITGB2,44.08771533
506,FAM13A,44.05251883
507,B2M,43.9985839
508,TYRP1,43.90181791
509,WDPCP,43.89212717
510,AFAP1,43.89001064
511,SCN11A,43.85407052
512,CD200R1,43.74774797
513,CXCR4,43.68490861
514,CCDC93,43.63546813
515,CDH11,43.59667498
516,SLC27A4,43.55339921
517,EFHC2,43.43194445
518,IGSF5,43.39686169
519,ZNF786,43.21313222
520,SIPA1,43.21133603
521,CNGB1,43.20813418
522,DNAI1,43.04861925
523,ARHGAP35,43.0377739
524,MTFR2,43.02197058
525,ST18,42.93724404
526,EXOSC10,42.61424029
527,FEZF1,42.57466611
528,KCNC1,42.55848025
529,ZRSR2,42.42238947
530,NAV3,42.41645807
531,KCNU1,42.32516783
532,SLMAP,42.30073866
533,RADIL,42.28832359
534,DNAH5,42.24125358
535,POT1,42.10018765
536,VDAC3,42.00609383
537,DNMBP,41.96556915
538,PRKD1,41.81809714
539,PHKA1,41.71909419
540,GRSF1,41.71217878
541,TAS2R1,41.63246136
542,MCM3AP,41.59778773
543,TRIM2,41.59576272
544,NACAD,41.57554576
545,ARMC9,41.35503415
546,LRRC17,41.30806702
547,PCDH15,41.26165774
548,PDE4C,41.23654675
549,GNAI3,41.01316787
550,FAM135A,41.00724148
551,RNLS,40.98113859
552,ITPKB,40.94119197
553,SKIL,40.88503618
554,USP40,40.78813254
555,XYLT2,40.76668521
556,ESX1,40.75157596
557,TRIM21,40.67767806
558,PLXNB2,40.66046971
559,COPA,40.60299325
560,DZIP1,40.58655087
561,NAV2,40.2868349
562,XBP1,40.13441126
563,ACBD5,40.0410702
564,STAB2,40.02642432
565,PLXDC2,39.97599143
566,NTM,39.79265554
567,BRWD1,39.76936926
568,PTCHD4,39.63776187
569,SH2D3C,39.57977412
570,GRM8,39.57887833
571,SPICE1,39.52132026
572,BRD7,39.4964804
573,SUPT6H,39.43947867
574,SYCP1,39.39911023
575,PDE6B,39.33935015
576,ASH1L,39.24698745
577,KCNB2,39.23857887
578,ERBB4,39.19883947
579,ABCA7,39.15729315
580,MASP2,39.07162732
581,WAC,39.05010633
582,MAP2K4,38.99539856
583,ZNF528,38.91568023
584,KIF20A,38.82715538
585,RBM39,38.7109403
586,DGKZ,38.58516203
587,SLC23A2,38.55609224
588,CDKN1B,38.44137415
