,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
TAMM41,-0.010314385,-0.003698644,0.004069557,0.008599851,0,-0.009083889,-0.004090579,-0.002551662,-0.000314861,-0.000978542,-0.000244136,0,-0.014831791,-0.023469337,-0.00508342,-0.003518192,-0.003949517,-0.006269573,-0.001049262,-0.00096858,-0.000759152,-0.000945897,-0.016117981,-0.009980929,-0.01389556
TANC1,0.008866389,-0.005871285,-0.007896844,-0.004280901,-0.004108525,-0.008094589,-0.005434534,-0.004040204,-0.000514119,-0.001523836,-0.000873549,-0.004842965,-0.021854298,-0.038312342,0,-0.00303934,-0.003711613,-0.006012426,-0.00422782,-0.002088069,-0.00273014,-0.000429259,0.020239697,-0.009872498,-0.008793411
TANC2,0.010903499,-0.003575244,-0.008819807,-0.003427205,-0.005276323,-0.014753421,-0.005774519,-0.004919307,-0.000654373,0.000730303,-0.000857582,-0.010119164,-0.022554398,-0.039095443,-0.00025249,0,-0.004747462,-0.007057732,-0.006055287,-0.002313691,-0.001054875,0,0.02162519,-0.007825722,0
TANGO6,0.008198634,-0.001033418,-0.00292801,-0.001248948,-0.002580359,-0.01243553,-0.002971848,0.001042631,-0.000496281,0,0.000941189,-0.001547726,-0.021742375,-0.029498657,-0.004633423,-0.002674032,-0.002815914,-0.005348857,-0.00174644,-0.000456278,0,-0.00031272,-0.002974069,-0.010946615,-0.008737435
TANK,-0.008072021,-0.005471669,-0.006051278,0.000727008,-0.005104745,-0.004673924,-0.00298309,-0.004071332,-0.001754862,0.001476511,-0.000358941,-0.00353763,0.008050256,0.025921211,-0.004816355,-0.009892759,-0.003232507,-0.006539462,-0.004360933,0.007811941,-0.004883738,-0.003844646,-0.021444588,-0.011783342,-0.004127013
TAOK2,0.02106802,-0.003644513,-0.005921804,-0.005330664,-0.003832868,-0.011343246,-0.007377072,0.007617182,0.000996658,0.001336443,-0.003087208,0.047428399,-0.02446966,-0.047442139,-0.000694447,0,-0.008843269,0.041251317,-0.008090318,-0.007457608,-0.00418829,0,0.041894072,0.026401518,-0.01393127
TAOK3,0.003566373,-0.002154073,-0.007588586,-0.003849016,-0.004605751,-0.003684726,-0.004032887,-0.00411649,-0.000686623,-0.001592259,-0.000349015,-0.007048046,-0.019567229,-0.032582823,-0.001940582,-0.004702773,-0.000726763,-0.003541706,-0.005987025,-0.003762302,0,-0.001586142,0.001198801,-0.008166402,-0.005511864
TAP1,0.004378974,-0.00286458,-0.001124252,-0.002796295,-0.004509314,-0.017375177,-0.001561255,-0.003615515,-0.001324365,0.003035168,-0.001642848,-0.005262071,-0.013260827,-0.000787724,0.001800492,-0.004490771,-0.004841642,-0.005793099,-0.007491725,-0.002927031,-0.005224329,-0.000568583,-0.012055163,-0.009986104,-0.006658445
TARDBP,-0.015928417,-0.003720327,-0.007484063,-0.008858948,-0.009337535,-0.031010449,-0.005044831,-0.007196959,-0.002678941,-0.003586313,-0.002398137,-0.007014834,0.074341486,0.099040033,-0.005520335,-0.015822999,0.002352943,-0.007720894,-0.000772303,-0.004770335,0.012177642,-0.00242866,-0.036535981,-0.010656281,-0.001013901
TAS1R1,0.004837642,-0.004872848,-0.006294059,-0.001776428,-0.000271692,-0.010297122,-0.003954579,0.000871754,-0.000537273,-0.00136426,0,0.000683389,-0.028238968,-0.034430242,0.002313036,0.001437191,-0.00568025,-0.006847253,0,-0.002573673,0,-0.000453945,-0.002857207,-0.009525102,-0.007828877
TAS1R2,0.004265466,-0.004729005,-0.007292409,-0.000724179,-0.00443187,-0.005114846,-0.003882897,-0.003822372,-0.000844952,-0.000814139,0,-0.003943453,-0.033038587,-0.04374586,0.003375553,-0.003499499,-0.000174176,-0.000180145,-0.002892816,-0.002911304,0.002084197,-0.000588363,0.01088352,-0.009088666,-0.006549964
TAS1R3,0.007772775,-0.004155743,-0.003921138,-0.001215568,0,-0.012145339,-0.00108393,0.00374805,-0.000699396,0.003464161,0,-0.002639273,-0.024222029,-0.035831392,-0.000318254,0.002865675,-0.005890345,-0.00731047,-0.004443837,0.00325418,0.002645105,0,-0.008745915,-0.007344807,-0.005371849
TAS2R1,-0.007250658,-0.000541944,-0.001723784,-7.81E-05,-0.003554801,-0.00295784,-0.001416257,-0.003057916,-0.000495884,-0.000370987,-0.000968628,-0.004631312,-0.025087423,-0.030409601,0.002729538,-0.003179674,-0.003779362,-0.006722158,-0.001499985,-7.06E-05,-0.002508955,-0.001224575,-0.007020817,-0.009229358,-0.009752523
TAS2R13,-0.008856489,-0.002787801,-0.001225899,0.000717898,0.001255252,-0.009487679,-0.001382369,-0.002847737,0.002856165,0,-0.000232225,-0.005227677,-0.025700606,-0.03098101,0.005867851,-0.004085009,0,0.002821837,-0.000700357,0.006541241,-0.00084567,-0.001859185,-0.009141045,-0.008666306,-0.009408231
TAS2R14,-0.007477876,-0.002715997,-0.00126677,-6.30E-05,0.000784094,-0.009602124,-0.002753905,-0.002794249,-0.000413811,-0.000465185,0,-0.004262732,-0.021120481,-0.029310421,0.003330983,-0.002093017,-0.003337931,-0.006426219,-0.004070975,-0.000843633,-0.001015062,-0.000323442,-0.008991501,-0.008352118,-0.007646789
TAS2R30,-0.007194885,0,-0.004183105,-0.000260078,0,-0.009537088,-0.003265468,-0.00273075,-0.000491193,-0.000518672,-0.000116718,-0.004324977,-0.020610754,-0.026654581,0.002821965,-0.003037143,-0.003254992,-0.005974908,-0.003619331,-0.001553489,-0.000592493,-0.000581276,-0.011350693,-0.00857136,-0.009201636
TAS2R38,-0.007078022,-0.003217892,-0.004706733,0,0.001910907,-0.009751893,-0.003080415,-0.002698987,0,-0.000400558,-0.001165043,-0.004196732,-0.024653406,-0.029953014,0.003890372,-0.003313355,-0.003964862,-0.007448842,-0.00176046,-0.001140781,-0.000171931,-0.000845674,-0.004501786,-0.008156397,-0.00839812
TAS2R42,-0.008911965,-0.003672268,-0.002180062,0,0.002258946,-0.010382784,0.003630124,-0.002845927,-0.000623232,0,-0.000842881,-0.004867016,-0.023161675,-0.031428299,0.004244336,-0.003756333,-0.003890362,-0.006886207,-0.001852253,0.002635972,0,-0.000662193,-0.012960954,-0.010441541,-0.006421337
TAS2R46,-0.008079946,-0.003016681,-0.001309062,0,-0.003051484,-0.009233473,-0.003642905,-0.002742223,-0.000477132,-0.000365528,-0.00032458,-0.005160768,-0.020231449,-0.026251225,0.003324448,-0.002936613,-0.003470422,-0.00607278,-0.003901967,0.002577408,0,-0.000489725,-0.011371281,-0.009036226,-0.009540012
TAS2R8,-0.008836528,-0.002328611,-0.001432175,0.001046939,0.002005116,-0.002719556,0.001367956,-0.003010901,-0.000500358,0,-0.000303875,-0.004290118,-0.025381701,-0.032381083,0.004766751,-0.004975457,-0.001434581,0.002125755,0,0.001637971,0.001444397,-0.000674433,-0.011185587,-0.008480364,-0.009834612
TAS2R9,-0.008840737,-0.002524565,0.005601269,-0.000874379,0.002530948,-0.009672087,-0.002944658,-0.00308433,-0.000531155,-0.000351189,-0.000320139,-0.004770544,-0.024820912,-0.031705864,0.00441463,-0.003408832,-0.00687886,0.008949537,-0.002904032,-0.001124215,-0.000807094,-0.000914287,-0.01130767,-0.011266439,-0.010105163
TATDN1,-0.012618439,-0.003225394,0.001887855,0.001437625,-0.00059203,-0.019565946,0.002151737,-0.00343443,-0.001186643,-0.00093402,0.001402704,0.008543993,-0.011289817,0.034238416,-0.007836191,-0.008342927,-0.003151937,-0.008815303,-0.002677396,0.000963824,-0.002551294,-0.003517993,-0.026492474,-0.017360546,-0.016836999
